Asset ID,Origination Date,Total Advance,Total EMI,Payment Date,Payment Amount
738,2024-03-04,9520,12720,2024-07-29,1060.0
738,2024-03-04,9520,12720,2024-08-05,530.0
738,2024-03-04,9520,12720,2024-08-12,530.0
738,2024-03-04,9520,12720,2024-08-19,530.0
739,2024-03-05,8710,11635,2024-03-12,485.0
739,2024-03-05,8710,11635,2024-03-19,485.0
739,2024-03-05,8710,11635,2024-03-26,485.0
739,2024-03-05,8710,11635,2024-04-02,485.0
739,2024-03-05,8710,11635,2024-04-09,485.0
739,2024-03-05,8710,11635,2024-04-16,485.0
739,2024-03-05,8710,11635,2024-04-23,485.0
739,2024-03-05,8710,11635,2024-04-30,485.0
739,2024-03-05,8710,11635,2024-05-07,0.0
739,2024-03-05,8710,11635,2024-05-14,0.0
739,2024-03-05,8710,11635,2024-05-21,0.0
739,2024-03-05,8710,11635,2024-05-28,0.0
739,2024-03-05,8710,11635,2024-06-04,0.0
739,2024-03-05,8710,11635,2024-06-11,0.0
739,2024-03-05,8710,11635,2024-06-18,0.0
739,2024-03-05,8710,11635,2024-06-25,0.0
739,2024-03-05,8710,11635,2024-07-02,2000.0
739,2024-03-05,8710,11635,2024-07-09,0.0
739,2024-03-05,8710,11635,2024-07-16,0.0
739,2024-03-05,8710,11635,2024-07-23,0.0
739,2024-03-05,8710,11635,2024-07-30,0.0
739,2024-03-05,8710,11635,2024-08-06,0.0
739,2024-03-05,8710,11635,2024-08-13,0.0
739,2024-03-05,8710,11635,2024-08-20,0.0
739,2024-03-05,8710,11635,2024-08-27,0.0
739,2024-03-05,8710,11635,2024-09-03,0.0
739,2024-03-05,8710,11635,2024-09-10,0.0
739,2024-03-05,8710,11635,2024-09-17,0.0
739,2024-03-05,8710,11635,2024-09-24,0.0
739,2024-03-05,8710,11635,2024-10-01,0.0
739,2024-03-05,8710,11635,2024-10-08,2000.0
739,2024-03-05,8710,11635,2024-10-15,0.0
739,2024-03-05,8710,11635,2024-10-29,2200.0
739,2024-03-05,8710,11635,2024-12-01,1500.0
740,2024-03-05,10580,14030,2024-03-12,585.0
740,2024-03-05,10580,14030,2024-03-19,585.0
740,2024-03-05,10580,14030,2024-03-26,585.0
740,2024-03-05,10580,14030,2024-04-02,585.0
740,2024-03-05,10580,14030,2024-04-09,585.0
740,2024-03-05,10580,14030,2024-04-16,585.0
740,2024-03-05,10580,14030,2024-04-23,585.0
740,2024-03-05,10580,14030,2024-04-30,585.0
740,2024-03-05,10580,14030,2024-05-07,585.0
740,2024-03-05,10580,14030,2024-05-14,585.0
740,2024-03-05,10580,14030,2024-05-21,585.0
740,2024-03-05,10580,14030,2024-05-28,0.0
